Date,core_ret
2007-01-03,0.0
2007-01-04,-0.004496725203424701
2007-01-05,-0.01599142978877388
2007-01-08,0.00488858763538369
2007-01-09,0.0026339116509456195
2007-01-10,-0.0004705974359234255
2007-01-11,0.00252032537006297
2007-01-12,0.016498502576215657
2007-01-16,-0.0025858446673425184
2007-01-17,0.005615667016179993
2007-01-18,-0.004711339513865376
2007-01-19,0.006925063799623543
2007-01-22,-0.0037626215063808477
2007-01-23,0.013512564119571246
2007-01-24,0.004805029704982977
2007-01-25,-0.007968689863942113
2007-01-26,0.0004017014545688591
2007-01-29,-0.003398142387390335
2007-01-30,0.006132993021382371
2007-01-31,0.008110907555690772
2007-02-01,0.005999168406877198
2007-02-02,-0.0065148924383461315
2007-02-05,0.0003714861002238612
2007-02-06,0.0038700004253309217
2007-02-07,-0.000130475404478414
2007-02-08,0.0062311096407643984
2007-02-09,0.0008551708597634988
2007-02-12,-0.0051050554350199895
2007-02-13,0.005511857512329743
2007-02-14,0.007308508585823326
2007-02-15,0.0009537839504971668
2007-02-16,-0.0006165522678112656
2007-02-20,-0.006847812884469895
2007-02-21,0.015412415462203566
2007-02-22,-0.0018615244143061482
2007-02-23,0.002290459625988117
2007-02-26,0.0023582829752002987
2007-02-27,-0.03927915166880991
2007-02-28,0.013304596482070608
2007-03-01,-0.006454021259181264
2007-03-02,-0.02257613136713954
2007-03-05,-0.01088095092711816
2007-03-06,0.01824807301089637
2007-03-07,0.0006680751496053738
2007-03-08,0.005627292135996331
2007-03-09,-0.001641442543747984
2007-03-12,0.0016797419461654917
2007-03-13,-0.014765967784509837
2007-03-14,0.005451413395088811
2007-03-15,0.0009948884448038875
2007-03-16,0.0016316790060582065
2007-03-19,0.006956035985042575
2007-03-20,0.0068393792989093205
2007-03-21,0.01244196448656043
2007-03-22,-0.0008396090918914578
2007-03-23,-0.0039047162202787145
2007-03-26,0.004632894764292184
2007-03-27,-0.0022503169757078223
2007-03-28,-0.0009762345875857781
2007-03-29,-0.0024992026670447864
2007-03-30,0.0007910770780752419
2007-04-02,0.00140002699090791
2007-04-03,0.005229421316647054
2007-04-04,0.008000149055788941
2007-04-05,0.0017297948813117525
2007-04-09,-0.0017745785675459258
2007-04-10,0.005323216227917205
2007-04-11,-0.0026355631169127647
2007-04-12,0.0015510410981072198
2007-04-13,0.008625443011228362
2007-04-16,0.008875503041940402
2007-04-17,-0.0015947463958800312
2007-04-18,0.003405994722158079
2007-04-19,-0.0063510907055852606
2007-04-20,0.013383306521233984
2007-04-23,-0.005086282660513197
2007-04-24,-0.0036795936790769423
2007-04-25,0.005772005621535459
2007-04-26,-0.006943495518432596
2007-04-27,0.004758306022102532
2007-04-30,-0.00762474229363902
2007-05-01,-0.0016997351767330526
2007-05-02,0.0027010148616390395
2007-05-03,0.008933927176081768
2007-05-04,0.007081538075264571
2007-05-07,0.0005393156515994812
2007-05-08,-0.0033731037538832775
2007-05-09,-0.0018074770541388063
2007-05-10,-0.01597493686756063
2007-05-11,0.007687710534826531
2007-05-14,-0.002372878891883201
2007-05-15,0.0020942843968270175
2007-05-16,-0.0036431069108284198
2007-05-17,-0.005105316667996074
2007-05-18,0.007897359381774938
2007-05-21,0.0008826054924702675
2007-05-22,-0.003971831411608728
2007-05-23,0.002673014713309163
2007-05-24,-0.01055324770428162
2007-05-25,0.0035524806487295946
2007-05-29,0.0028138206793706377
2007-05-30,0.0013830851674140332
2007-05-31,0.0058137761935423415
2007-06-01,0.009344505910258372
2007-06-04,0.0018432598550896522
2007-06-05,-0.005119506544861374
2007-06-06,-0.00560906037238329
2007-06-07,-0.017980461612985832
2007-06-08,0.0060883469486321395
2007-06-11,-0.0005712821114676192
2007-06-12,-0.012693074140254168
2007-06-13,0.013434381294384345
2007-06-14,0.0019330594201975027
2007-06-15,0.004115700728419824
2007-06-18,-0.0016036797971889505
2007-06-19,0.0059123182838421995
2007-06-20,-0.010981754324220716
2007-06-21,0.0003870870557989847
2007-06-22,-0.0014601245726534873
2007-06-25,0.0003546990935140437
2007-06-26,-0.0050204694538026895
2007-06-27,0.007589284994052314
2007-06-28,-0.00018502876064224738
2007-06-29,0.005326318119715623
2007-07-02,0.005224866719385934
2007-07-03,-0.0008414506755177738
2007-07-05,-0.002996575046617045
2007-07-06,0.00681972862326663
2007-07-09,0.003624986628131599
2007-07-10,-0.005360581911540263
2007-07-11,0.00224942852032628
2007-07-12,0.012326731777089317
2007-07-13,0.0015655063485283671
2007-07-16,-0.0016547717931117423
2007-07-17,-0.0007901047261483773
2007-07-18,0.005711309436650547
2007-07-19,0.0048691886581064825
2007-07-20,-0.0008091591973345413
2007-07-23,0.000717093856365536
2007-07-24,-0.008670514216331304
2007-07-25,-0.003199650624881145
2007-07-26,-0.021181878022702605
2007-07-27,-0.011657623605583034
2007-07-30,0.010573486222063555
2007-07-31,-0.005479635110453629
2007-08-01,0.0035001364679322355
2007-08-02,0.0036917700431683964
2007-08-03,-0.006801891383876768
2007-08-06,0.007105109243172536
2007-08-07,0.005034172822572791
2007-08-08,0.009151339701478745
2007-08-09,-0.024626577359879664
2007-08-10,0.0061399523611683215
2007-08-13,-0.0005316990201554295
2007-08-14,-0.007416681679457138
2007-08-15,-0.008094480897984091
2007-08-16,-0.007205386754084275
2007-08-17,0.011734709773388752
2007-08-20,0.0006041400234175764
2007-08-21,0.0006185356838800948
