,ret
2022-03-30,-0.012704212243016235
2022-03-31,-0.0052439230113117095
2022-04-01,-0.00044642023903236644
2022-04-04,0.011928147243158093
2022-04-05,-0.023318916389615457
2022-04-06,-0.020607875229855868
2022-04-07,3.59312511671702e-05
2022-04-08,-0.014894750069745211
2022-04-11,-0.009826302715843371
2022-04-12,-0.043864493836617696
2022-04-13,0.02182198668458641
2022-04-14,-0.02464326530290459
2022-04-18,-0.011020449642260132
2022-04-19,0.005921866993940962
2022-04-20,-0.020176623565863788
2022-04-21,-0.0253994602762571
2022-04-22,-0.018299667779106195
2022-04-25,-0.003142821168094511
2022-04-26,-0.053773479945455914
2022-04-27,-0.00605358119824251
2022-04-28,0.013638092509057705
2022-04-29,-0.014905954665915388
2022-05-02,0.02307574472142707
2022-05-03,0.00562472175109926
2022-05-04,0.021650790889895452
2022-05-05,-0.04008755532417437
2022-05-06,-0.015309609495608048
2022-05-09,-0.030624902253374945
2022-05-10,-0.05592111064551608
2022-05-11,-0.04239607749917487
2022-05-12,0.017726166056637
2022-05-13,0.06440225077907992
2022-05-16,-0.06359529827357313
2022-05-17,0.03972660652612479
2022-05-18,-0.022006167921891917
2022-05-19,0.032879247552298874
2022-05-20,-0.01849895366757729
2022-05-23,-0.01220043374241627
2022-05-24,-0.027547425206269877
2022-05-25,0.012126304261827894
2022-05-26,0.03512130216789068
2022-05-27,0.014385606000478265
2022-05-31,0.008084437149223847
2022-06-01,-0.02541806324271008
2022-06-02,0.03424735608753944
2022-06-03,-0.01775330076703514
2022-06-06,-0.026852573953569416
2022-06-07,-0.016529313853142366
2022-06-08,-0.007432670196380356
2022-06-09,-0.03493241391376225
2022-06-10,-0.013038272840997152
2022-06-13,-0.05735451474987607
2022-06-14,-0.007729954962995633
2022-06-15,0.013072077870734751
2022-06-16,-0.023509059926318406
2022-06-17,0.0421893320747675
2022-06-21,-0.020264214813428813
2022-06-22,-0.029305960888590228
2022-06-23,-0.00726681596419974
2022-06-24,-0.0004785230419483734
2022-06-27,-0.008381744918350972
2022-06-28,-0.021810131103885615
2022-06-29,-0.02850415015529844
2022-06-30,0.0036599297344531248
2022-07-01,0.011880452286928859
2022-07-05,0.02730929974867776
2022-07-06,-0.003847593378165692
2022-07-07,0.04927374961008062
2022-07-08,0.02416641156276015
2022-07-11,-0.031676122623406654
2022-07-12,-0.024449886957182063
2022-07-13,0.009099691102280165
2022-07-14,-0.007868865175858813
2022-07-15,0.016638926783034108
2022-07-18,0.009108738641954356
2022-07-19,0.055599824165277596
2022-07-20,0.02347559398721598
2022-07-21,-0.0005388419139871858
2022-07-22,-0.037037117532544586
2022-07-25,-0.01960269365142241
2022-07-26,-0.03461336603566516
2022-07-27,0.02845140226347711
2022-07-28,0.01919336076899283
2022-07-29,0.0006073428723100999
2022-08-01,-0.002374831502131999
2022-08-02,0.023063129496130593
2022-08-03,0.03599090649928432
2022-08-04,-0.008753308038070068
2022-08-05,0.013405806584426385
2022-08-08,0.02602767976620388
2022-08-09,-0.011321689866288343
2022-08-10,0.04880470545329298
2022-08-11,0.008098370206625747
2022-08-12,0.017739864643816126
2022-08-15,0.018000460804494575
2022-08-16,-0.02203204251431725
2022-08-17,-0.038970155799128346
2022-08-18,-0.00963191437953577
2022-08-19,-0.03810206182205054
2022-08-22,-0.014148858557192086
2022-08-23,0.0012946986482249283
2022-08-24,0.004030114045575064
2022-08-25,0.01075627829533102
2022-08-26,-0.017588243108274906
2022-08-29,-0.0012945360916366538
2022-08-30,0.011458412544888597
2022-08-31,-0.004290994706359554
2022-09-01,-0.025580182740153688
2022-09-02,-0.0034875611263756536
2022-09-06,-0.026896988060727513
2022-09-07,-0.0046970883100817765
2022-09-08,0.030501042492177735
2022-09-09,0.031992568123675666
2022-09-12,0.00869835217580197
2022-09-13,-0.03134411075971337
2022-09-14,0.00044296061591783805
2022-09-15,-0.0039097583371120745
2022-09-16,-0.002835779821942263
2022-09-19,-0.018094586698755306
2022-09-20,-0.023422132825635357
2022-09-21,0.00878031270605028
2022-09-22,-0.012636734362464687
2022-09-23,-0.021107269958287135
2022-09-26,-0.007292444438437642
2022-09-27,0.014050063985988123
2022-09-28,0.03484396535427228
2022-09-29,-0.01721180896512373
2022-09-30,0.004942857531193885
2022-10-03,0.011197053624909135
2022-10-04,0.043859495617269054
2022-10-05,-0.0062656066259828384
2022-10-06,0.010706771840625408
2022-10-07,-0.05560763158398071
2022-10-10,-0.014629446977521453
2022-10-11,-0.022591269051208857
2022-10-12,0.00019805329617528103
2022-10-13,0.01225948668467269
2022-10-14,-0.026664913042234548
2022-10-17,0.025118194782448807
2022-10-18,-0.014713635150503916
2022-10-19,-0.009196337392486351
2022-10-20,-0.008503547630912722
2022-10-21,0.0042066327113199796
2022-10-24,0.004258719051203541
2022-10-25,0.049784563638878676
2022-10-26,0.04398429230828469
2022-10-27,-0.027275074069696724
2022-10-28,0.009090711411071106
2022-10-31,-0.02514828188480153
2022-11-01,-0.007180870292139758
2022-11-02,-0.028758218243578507
2022-11-03,-0.017553836379643566
2022-11-04,0.015733570099281124
2022-11-07,-0.0007497438215080064
2022-11-08,-0.02909612413405569
2022-11-09,-0.05583322180126367
2022-11-10,0.03406196931051334
2022-11-11,0.05369337281164006
2022-11-14,-0.020015693480224882
2022-11-15,0.00908664073126771
2022-11-16,-0.02281752836504267
2022-11-17,-0.02385786496169603
2022-11-18,-0.022214916109144854
2022-11-21,-0.05098816802094342
2022-11-22,-0.012620913687379337
2022-11-23,0.05562315003146399
2022-11-25,0.0004839847389379276
2022-11-28,-0.023914841551343945
2022-11-29,-0.00856111494749447
2022-11-30,0.006906801649386484
2022-12-01,0.009717663873752657
2022-12-02,0.033447849158670884
2022-12-05,-0.022499278062992806
2022-12-06,-0.0008477915633988342
2022-12-07,-0.03053702093065704
2022-12-08,0.025773250198071116
2022-12-09,0.006717331526960857
2022-12-12,-0.024493725923628116
2022-12-13,-0.014610353331346807
2022-12-14,-0.007048908337418181
2022-12-15,-0.024597352799962786
2022-12-16,-0.011217699268560921
2022-12-19,-0.01131317166219565
2022-12-20,0.00533501303103295
2022-12-21,0.0068545481187800555
2022-12-22,-0.020344996044563458
2022-12-23,0.017517160765868598
2022-12-27,-0.0240810921156413
2022-12-28,-0.03442075384428744
2022-12-29,0.026472751993504868
2022-12-30,0.05154318601456044
2023-01-03,0.019607151054714167
2023-01-04,0.037429791918431383
2023-01-05,0.021137787195439958
2023-01-06,-0.014116673645783267
2023-01-09,0.048994239774583476
2023-01-10,0.04211685184069927
2023-01-11,0.0013395718926432001
2023-01-12,0.04519220822537367
2023-01-13,0.02611884077933696
