Date,ret
2024-07-26,0.0336067161081391
2024-07-29,-0.03562120147672413
2024-07-30,-0.047949591123524433
2024-07-31,0.037652314588380316
2024-08-01,-0.05541793830469721
2024-08-02,-0.09606836949856812
2024-08-05,-0.0513620315870771
2024-08-06,0.047433210962875574
2024-08-07,-0.07331115936077481
2024-08-08,0.10800345019896097
2024-08-09,-0.0432620397101139
2024-08-12,-0.030993772068405305
2024-08-13,-0.03149950163907368
2024-08-14,-0.008242627579108939
2024-08-15,0.018084347742077882
2024-08-16,0.04670554100132131
2024-08-19,0.04383814098430031
2024-08-20,-0.007082029871485112
2024-08-21,0.04151996496961398
2024-08-22,-0.04059921561000505
2024-08-23,0.06749510794800474
2024-08-26,-0.0274553872844777
2024-08-27,-0.05008586832720981
2024-08-28,-0.06066666782979583
2024-08-29,0.028356223899778384
2024-08-30,-0.013460082841028414
2024-09-03,-0.10981224591435935
2024-09-04,-0.010488557517827148
2024-09-05,0.020739124995037144
2024-09-06,-0.07494585039184802
2024-09-09,0.08445599533404209
2024-09-10,0.05381168386922889
2024-09-11,0.006419853237858161
2024-09-12,0.01131996423043564
2024-09-13,0.02336078601436003
2024-09-16,-0.017569631710381554
2024-09-17,0.023320101532812356
2024-09-18,-0.01270063275489102
2024-09-19,0.01382515963474489
2024-09-20,0.002286834004059744
2024-09-23,0.03846069224497025
2024-09-24,0.08168124043635427
2024-09-25,0.0018970508657170093
2024-09-26,0.036636724520803035
2024-09-27,0.0018953752312270541
2024-09-30,-0.056425258918957714
2024-10-01,-0.07022921211935855
2024-10-02,0.024008112952970815
2024-10-03,0.00654068574190525
2024-10-04,0.0444059174620293
2024-10-07,-0.033542107671061486
2024-10-08,-0.019426738910384617
2024-10-09,-0.03494972199586144
2024-10-10,-0.002736664529943922
2024-10-11,0.09093399150430725
2024-10-14,0.0601617439270607
2024-10-15,0.003567471114680349
2024-10-16,0.08419967679217158
2024-10-17,-0.02647366479678735
2024-10-18,0.060648471496038484
2024-10-21,0.04108696525221959
2024-10-22,0.011244943247150942
2024-10-23,-0.04364205880149378
2024-10-24,0.024999976010803948
2024-10-25,-0.016833898184651926
2024-10-28,0.12171262626665842
2024-10-29,-0.018165096353041976
2024-10-30,-0.010939167640033711
2024-10-31,-0.0892658253122828
2024-11-01,-0.0026529240134600513
2024-11-04,-0.048159188328117226
2024-11-05,0.06094818673083946
2024-11-06,0.18728925632249732
2024-11-07,0.04892736980860514
2024-11-08,0.012142924256055723
2024-11-11,0.15941573836441916
2024-11-12,-0.022249405276351553
2024-11-13,-0.080033021057778
2024-11-14,-0.042527539206298356
2024-11-15,0.03596544187055512
