,ret
2022-03-30,-0.02660792078769112
2022-03-31,-0.01396402722203179
2022-04-01,0.002889991940136431
2022-04-04,0.019739594961422188
2022-04-05,-0.04406565552227824
2022-04-06,-0.04024334584665556
2022-04-07,-0.0015327579438242731
2022-04-08,-0.030463378995291352
2022-04-11,-0.01946789962495722
2022-04-12,-0.05936319630997594
2022-04-13,0.037571815845475386
2022-04-14,-0.044547810358595175
2022-04-18,-0.02028671912329233
2022-04-19,0.01510459921030871
2022-04-20,-0.03533427778669018
2022-04-21,-0.04550506631227528
2022-04-22,-0.03314834997767505
2022-04-25,-0.0032877045911570727
2022-04-26,-0.0921131170194724
2022-04-27,-0.010993325668523013
2022-04-28,0.02677461528069201
2022-04-29,-0.031194296856916912
2022-05-02,0.04220728597697624
2022-05-03,0.010247876747445058
2022-05-04,0.04704898486573331
2022-05-05,-0.07974072318011122
2022-05-06,-0.031095000105873828
2022-05-09,-0.06611056182468399
2022-05-10,-0.09767437420199465
2022-05-11,-0.08378189489590314
2022-05-12,0.02913286078892113
2022-05-13,0.1288301258165441
2022-05-16,-0.10681132960254394
2022-05-17,0.06963381845808765
2022-05-18,-0.04502135397940554
2022-05-19,0.04934160741994778
2022-05-20,-0.029928451312896433
2022-05-23,-0.02065349581425237
2022-05-24,-0.05180937696851945
2022-05-25,0.020134670726505283
2022-05-26,0.0627603702935057
2022-05-27,0.03443838355511889
2022-05-31,0.014041092804165637
2022-06-01,-0.051264086718047074
2022-06-02,0.05927315480862535
2022-06-03,-0.03743021504241306
2022-06-06,-0.04156107300392008
2022-06-07,-0.0294145610120047
2022-06-08,-0.01604385238033549
2022-06-09,-0.06750697359876899
2022-06-10,-0.027843473552007406
2022-06-13,-0.10719530750956283
2022-06-14,-0.01174917044243969
2022-06-15,0.01968618709145118
2022-06-16,-0.042754713598738794
2022-06-17,0.07162090925448239
2022-06-21,-0.029371936444113546
2022-06-22,-0.05437086035605685
2022-06-23,-0.005917874955800113
2022-06-24,0.00710921623704828
2022-06-27,-0.02033109656998945
2022-06-28,-0.04955824854666359
2022-06-29,-0.048754492674570014
2022-06-30,0.0013569523070344064
2022-07-01,0.0210055596991451
2022-07-05,0.05376047878602154
2022-07-06,-0.017044696050124764
2022-07-07,0.09524474861869273
2022-07-08,0.038938032792002364
2022-07-11,-0.05700784311491557
2022-07-12,-0.04281927988512027
2022-07-13,0.015446926355208685
2022-07-14,-0.012797700826513214
2022-07-15,0.031098536421237867
2022-07-18,0.021211519086717586
2022-07-19,0.10195666001635244
2022-07-20,0.047258031800874435
2022-07-21,0.004383767431525687
2022-07-22,-0.07330801080489709
2022-07-25,-0.04154916601261135
2022-07-26,-0.06143796960486169
2022-07-27,0.06125532379160678
2022-07-28,0.037340213138942584
2022-07-29,-0.0037194166240349094
2022-08-01,-0.00041603641985294045
2022-08-02,0.04350343789694259
2022-08-03,0.07487227852320325
2022-08-04,-0.022469138918289572
2022-08-05,0.029391686411206118
2022-08-08,0.054876845023408054
2022-08-09,-0.024541884872865773
2022-08-10,0.10722466220352814
2022-08-11,0.023368075662022852
2022-08-12,0.04043603937485155
2022-08-15,0.031221426215371533
2022-08-16,-0.04622377918453111
2022-08-17,-0.08101729816033502
2022-08-18,-0.01867491888326008
2022-08-19,-0.08272116743004111
2022-08-22,-0.033386694289955776
2022-08-23,0.00533624423670237
2022-08-24,0.008640028176987707
2022-08-25,0.019675060945674172
2022-08-26,-0.03987582262716481
2022-08-29,-0.0020035142768488976
2022-08-30,0.018122085310859053
2022-08-31,-0.013669312259619095
2022-09-01,-0.049489902185703476
2022-09-02,-0.007745899934045619
2022-09-06,-0.050672220852092
2022-09-07,-0.006916873049626146
2022-09-08,0.06724909276349557
2022-09-09,0.06994058838185409
2022-09-12,0.018522345358700697
2022-09-13,-0.07191439993831394
2022-09-14,0.0017908603433770538
2022-09-15,-0.008278707242437103
2022-09-16,-0.011299264940330473
2022-09-19,-0.03867316163628979
2022-09-20,-0.04852118232607414
2022-09-21,0.01472551655435663
2022-09-22,-0.028105121175808653
2022-09-23,-0.043921131887564205
2022-09-26,-0.01239307004037752
2022-09-27,0.027706235862236268
2022-09-28,0.06717499607992082
2022-09-29,-0.03595207918219042
2022-09-30,0.010215191044379788
2022-10-03,0.018365412743510504
2022-10-04,0.09017560139799295
2022-10-05,-0.013811280113596095
2022-10-06,0.011929916064919388
2022-10-07,-0.10602617388850494
2022-10-10,-0.02965440696899004
2022-10-11,-0.038761911881815485
2022-10-12,0.0027929133496505387
2022-10-13,0.02517775612115232
2022-10-14,-0.05248598248387564
2022-10-17,0.04925600634925437
2022-10-18,-0.030272209615467838
2022-10-19,-0.014756944330368133
2022-10-20,-0.021049832223267784
2022-10-21,0.006261710960836648
2022-10-24,0.007495915436660467
2022-10-25,0.10789561901564235
2022-10-26,0.08797845628969195
2022-10-27,-0.05258596063219799
2022-10-28,0.024807308095782552
2022-10-31,-0.049377115383862615
2022-11-01,-0.017678472483748597
2022-11-02,-0.06052304676831173
2022-11-03,-0.03566921021295814
2022-11-04,0.03742372704567246
2022-11-07,0.0011129058087172385
2022-11-08,-0.06549772387471745
2022-11-09,-0.11660719341640954
2022-11-10,0.06797801402313429
2022-11-11,0.09363529526770889
2022-11-14,-0.04897673211666979
2022-11-15,0.015193571076518567
2022-11-16,-0.05004472886462918
2022-11-17,-0.047430110788004375
2022-11-18,-0.0435542557996707
2022-11-21,-0.10702659754818532
2022-11-22,-0.021386063586064853
2022-11-23,0.10394559049762256
2022-11-25,-0.0019371415358184398
2022-11-28,-0.050865535136773644
2022-11-29,-0.01988196582713288
2022-11-30,0.03162073887006668
2022-12-01,0.014513256132645628
2022-12-02,0.057635689647843893
2022-12-05,-0.04819616518410126
2022-12-06,0.00045739022093784637
2022-12-07,-0.05960425127070179
2022-12-08,0.05541723581043056
2022-12-09,0.015837125378773166
2022-12-12,-0.04993003770300344
2022-12-13,-0.03072422696789523
2022-12-14,-0.011647004096129638
2022-12-15,-0.059297348561495766
2022-12-16,-0.0170208691269075
2022-12-19,-0.029734763155506768
2022-12-20,0.01510865976139101
