Date,unhedged,protective_put,collar
2022-05-19,100.0,100.0,100.0
2022-05-20,99.95,96.60565925930224,98.14503479105527
2022-05-23,99.95,96.60565925930224,98.14503479105527
2022-05-24,99.95,96.60565925930224,98.14503479105527
2022-05-25,99.95,96.60565925930224,98.14503479105527
2022-05-26,99.95,96.60565925930224,98.14503479105527
2022-05-27,99.95,96.60565925930224,98.14503479105527
2022-05-31,100.04906073950686,96.70140541284674,98.24230662422512
2022-06-01,99.95000000000002,93.79523100783695,96.45975197115442
2022-06-02,100.18774199603561,94.01833321332391,96.68919203089149
2022-06-03,100.24717277156847,94.07410433208409,96.74654748729323
2022-06-06,92.58515827463091,86.8839050351791,89.35209007884914
2022-06-07,92.72184450661562,87.01217433687592,89.48400323577877
2022-06-08,92.72184450661562,87.01217433687592,89.48400323577877
2022-06-09,92.72184450661562,87.01217433687592,89.48400323577877
2022-06-10,92.72184450661562,87.01217433687592,89.48400323577877
2022-06-13,92.44751325335602,86.75473598497842,89.21925161349407
2022-06-14,92.44751325335602,86.75473598497842,89.21925161349407
2022-06-15,92.44751325335602,86.75473598497842,89.21925161349407
2022-06-16,92.44751325335602,86.75473598497842,89.21925161349407
2022-06-17,92.44751325335602,86.75473598497842,89.21925161349407
2022-06-21,92.47494812279321,89.98594363910934,92.54225093377636
2022-06-22,92.44751325335602,89.9592471914223,92.51479609737657
2022-06-23,92.44751325335602,89.9592471914223,92.51479609737657
2022-06-24,92.44751325335602,89.9592471914223,92.51479609737657
2022-06-27,92.44751325335602,89.9592471914223,92.51479609737657
2022-06-28,92.44751325335602,89.9592471914223,92.51479609737657
2022-06-29,92.44751325335602,89.9592471914223,92.51479609737657
2022-06-30,92.44751325335602,89.9592471914223,92.51479609737657
2022-07-01,92.53895700444257,93.57374618859467,97.43361918446176
2022-07-05,92.53895700444257,93.57374618859467,97.43361918446176
2022-07-06,92.53895700444257,93.57374618859467,97.43361918446176
2022-07-07,92.53895700444257,93.57374618859467,97.43361918446176
2022-07-08,92.81327953714609,93.8511362508987,97.72245145630019
2022-07-11,92.81327953714609,93.8511362508987,97.72245145630019
2022-07-12,92.72184450661565,93.75867877551143,97.6261801535623
2022-07-13,92.8132795371461,93.85113625089872,97.72245145630019
2022-07-14,92.8132795371461,93.85113625089872,97.72245145630019
2022-07-15,92.8132795371461,93.85113625089872,97.72245145630019
2022-07-18,92.8132795371461,93.85113625089872,97.72245145630019
2022-07-19,99.97247836038386,101.09039067179278,105.26032171537074
2022-07-20,103.69136737521939,104.85086504974655,109.17591389179182
2022-07-21,106.09200755788773,107.27834967259966,111.70353111299947
2022-07-22,98.7067564995344,99.81051525514206,103.9276520400735
2022-07-25,93.71876986047313,94.76675194869792,98.67583587075849
2022-07-26,93.08486909274905,94.1257627754039,98.00840619570606
2022-07-27,98.92556819816801,100.03177375009199,104.15803734381915
2022-07-28,99.02615555560251,100.13348589553908,104.2639450674017
2022-07-29,99.00180031151594,100.10885830622651,104.23830160161938
2022-08-01,99.87461131438498,98.45718883233276,103.50562401730996
2022-08-02,99.52836904344325,98.1158604386278,101.04051576833051
2022-08-03,109.38124218642938,107.82890140883366,111.04308482211162
2022-08-04,107.29564648898852,105.77290452725923,108.92580241329759
2022-08-05,111.27641472776857,109.6971776235478,112.96705095244486
2022-08-08,115.86680441792483,114.22242041137744,117.62718299649116
2022-08-09,114.180256257163,112.5598077758574,115.91501090255156
2022-08-10,126.69692178675578,124.89883653782235,128.62184366756665
2022-08-11,128.99061718401572,127.15997976411242,130.95038746047692
2022-08-12,135.097009327322,133.179709867945,137.1495547689861
2022-08-15,136.50295045700994,134.5656978529905,138.5768565347929
2022-08-16,130.1705177253053,128.32313513331272,132.1482143754864
2022-08-17,119.47081997536479,117.77528770791751,121.28595480457606
2022-08-18,118.71963551685111,117.03476407426867,120.52335750839968
2022-08-19,111.63561802026885,110.05128309573402,113.33171166464912
2022-08-22,111.68935681356879,110.10425922700423,113.38626691803044
2022-08-23,111.74410775242598,110.1582331394417,113.44184969462066
2022-08-24,111.74410775242598,110.1582331394417,113.44184969462066
2022-08-25,111.74410775242598,110.1582331394417,113.44184969462066
2022-08-26,111.74410775242598,110.1582331394417,113.44184969462066
2022-08-29,111.68935681356879,110.10425922700423,113.38626691803044
2022-08-30,111.68935681356879,113.47088596232769,116.85324667253516
2022-08-31,111.90836056899754,113.69338299218394,117.08237593413564
2022-09-01,111.90836056899754,110.47076470300831,115.17784070117933
2022-09-02,111.90836056899754,110.47076470300831,115.17784070117933
2022-09-06,111.90836056899754,110.47076470300831,115.17784070117933
2022-09-07,112.45585951489554,111.01123037438371,115.7413352073456
2022-09-08,112.2368557594668,110.79503998242343,115.51593310577357
2022-09-09,112.2368557594668,110.79503998242343,115.51593310577357
2022-09-12,112.2368557594668,110.79503998242343,115.51593310577357
2022-09-13,112.2368557594668,110.79503998242343,115.51593310577357
2022-09-14,112.2368557594668,110.79503998242343,115.51593310577357
2022-09-15,112.2368557594668,110.79503998242343,115.51593310577357
2022-09-16,112.2368557594668,110.79503998242343,115.51593310577357
2022-09-19,112.2368557594668,110.79503998242343,115.51593310577357
2022-09-20,112.2368557594668,110.79503998242343,115.51593310577357
2022-09-21,112.34635763718117,110.90313517840357,115.62863415655957
2022-09-22,112.45585951489554,111.01123037438371,115.7413352073456
2022-09-23,112.34635763718117,110.90313517840357,115.6286341565596
2022-09-26,112.34635763718117,110.90313517840357,115.6286341565596
2022-09-27,112.34635763718117,110.90313517840357,115.6286341565596
2022-09-28,112.56535094993609,111.11931526183858,115.85402551036785
2022-09-29,112.45585951489554,111.01123037438371,115.7413352073456
2022-09-30,112.45585951489554,111.01123037438371,115.7413352073456
2022-10-03,112.56535094993608,115.7657377063048,122.63353336175054
2022-10-04,117.66170754523324,121.00699068415379,128.18572336763182
2022-10-05,117.28215400022037,120.61664591316827,127.77222141581355
