Date,ret
2018-09-04,-0.0025058633636797652
2018-09-05,-0.006916914674835571
2018-09-06,-0.007241775346785532
2018-09-07,-0.0007750924839115797
2018-09-10,0.0018347458938829247
2018-09-11,0.009691248229193929
2018-09-12,0.003558623809920229
2018-09-13,0.0012057847091681824
2018-09-14,-0.0010672003549472328
2018-09-17,-0.007453422061356522
2018-09-18,0.010570573254781617
2018-09-19,0.0009114436310985256
2018-09-20,0.005354650430787996
2018-09-21,-0.002692801463596292
2018-09-24,0.00513157905509333
2018-09-25,0.003730797035955695
2018-09-26,-0.004243450095773293
2018-09-27,0.0047305658879036455
2018-09-28,0.0026465390562500275
2018-10-01,0.00860683162290949
2018-10-02,-0.003896946697231436
2018-10-03,0.0016265888477283107
2018-10-04,-0.014339009437191652
2018-10-05,-0.005993712780205233
2018-10-08,-0.0032069470496584387
2018-10-09,0.002244169903036712
2018-10-10,-0.03545271313397986
2018-10-11,-0.01794073214948544
2018-10-12,0.01892046962969384
2018-10-15,-0.006514762971814325
2018-10-16,0.02208216929406939
2018-10-17,-0.0041912488397954535
2018-10-18,-0.01611442940663975
2018-10-19,-0.004435776482889826
2018-10-22,0.0022594043390787464
2018-10-23,-0.009027285901057919
2018-10-24,-0.027484518818038615
2018-10-25,0.022850337805962295
2018-10-26,-0.016903511386117953
2018-10-29,-0.01349039225853155
2018-10-30,0.010211546335057947
2018-10-31,0.008507028353282119
2018-11-01,0.012434415403958324
2018-11-02,-0.003638133225427285
2018-11-05,0.0009953431807569238
2018-11-06,0.0016989227895891578
2018-11-07,0.01396706839575768
2018-11-08,-0.0009473791215079878
2018-11-09,-0.007092189660190845
2018-11-12,-0.01227450773323159
2018-11-13,-0.004747333155574012
2018-11-14,-0.0036623782934949597
2018-11-15,0.002849274740731161
2018-11-16,-0.00020349879513789767
2018-11-19,-0.014262294823856686
2018-11-20,-0.010939559309261705
2018-11-21,0.003700249017235829
2018-11-23,-0.006272612261076662
2018-11-26,0.01044523297876507
2018-11-27,0.001055693165189059
2018-11-28,0.01632934522336707
2018-11-29,0.0005423324763515849
2018-11-30,0.005092638171256917
2018-12-03,0.012467358549862834
2018-12-04,-0.01847024556556111
2018-12-06,0.002473900352089266
2018-12-07,-0.016062953126570058
2018-12-10,0.001833528086764237
2018-12-11,0.0008229602375233722
2018-12-12,0.002698745559455387
2018-12-13,-0.0007894666104220959
2018-12-14,-0.011445776905010061
2018-12-17,-0.015496026383865684
2018-12-18,0.005588336731036789
2018-12-19,-0.011222126020025914
2018-12-20,-0.01027764695205707
2018-12-21,-0.011748402641719002
2018-12-24,-0.01718243874732528
2018-12-26,0.03242107038684494
2018-12-27,0.003395753157279975
2018-12-28,0.0004895472813558052
2018-12-31,0.006241752684304566
2019-01-02,-0.0017827887721404145
2019-01-03,-0.0050881087845905315
2019-01-04,0.008311420554078686
2019-01-07,-0.000672635920199291
2019-01-08,0.003110928059888791
2019-01-09,-0.0008656044421625944
2019-01-10,0.0005443031817673847
2019-01-11,0.0010011295259105232
2019-01-14,-0.006459843301912291
2019-01-15,0.005429620527050143
