ticker,entry_date,exit_date,entry_price,exit_price,weight_at_entry,gross_ret_pct,net_ret_pct,fx_rate_krw_per_usd,exit_year
XLC,2019-12-02,2020-02-03,52.060001373291016,54.54999923706055,0.25,0.04782938528785752,0.04282938528785752,1194.8,2020
XLC,2020-09-01,2021-04-01,63.779998779296875,74.58000183105469,0.25,0.16933213011072556,0.16433213011072556,1131.63,2021
XLC,2021-07-01,2021-09-01,81.56999969482422,86.05000305175781,0.25,0.0549221941117386,0.0499221941117386,1156.03,2021
XLC,2021-10-01,2021-11-01,81.45999908447266,80.43000030517578,0.25,-0.012644227729842972,-0.017644227729842973,1177.73,2021
XLC,2023-06-01,2026-02-02,63.08000183105469,119.66999816894531,0.25,0.8971146907930336,0.8921146907930336,1452.03,2026
XLY,2020-01-02,2020-02-03,63.45500183105469,63.10499954223633,0.25,-0.00551575571221663,-0.010515755712216631,1194.8,2020
XLY,2020-09-01,2021-05-03,75.83000183105469,89.03500366210938,0.25,0.174139542558297,0.169139542558297,1122.88,2021
XLY,2023-07-03,2023-08-01,85.93000030517578,85.88500213623047,0.25,-0.0005236607562609796,-0.00552366075626098,1283.84,2023
XLY,2023-12-01,2024-05-01,85.54499816894531,87.26000213623047,0.25,0.02004797479682141,0.01504797479682141,1386.95,2024
XLY,2025-01-02,2025-03-03,110.69999694824219,105.98999786376953,0.25,-0.042547418376847945,-0.04754741837684794,1456.49,2025
XLY,2025-06-02,2025-07-01,107.1500015258789,109.12999725341797,0.25,0.018478727945336004,0.013478727945336003,1358.06,2025
XLY,2025-09-02,2025-10-01,115.00499725341797,120.56999969482422,0.25,0.04838922285388647,0.043389222853886474,1402.45,2025
XLY,2025-11-03,2025-12-01,121.08999633789062,118.30000305175781,0.25,-0.023040658770420608,-0.02804065877042061,1467.79,2025
XLP,2022-03-01,2022-04-01,74.45999908447266,76.6500015258789,0.125,0.029411797855674937,0.024411797855674936,1215.29,2022
XLP,2022-05-02,2022-06-01,76.62000274658203,73.5,0.125,-0.04072047291490355,-0.04572047291490355,1246.52,2022
XLP,2022-07-01,2022-10-03,73.22000122070312,67.87999725341797,0.125,-0.072930946165776,-0.077930946165776,1434.83,2022
XLP,2022-11-01,2023-01-03,72.51000213623047,74.2699966430664,0.125,0.02427243766355569,0.01927243766355569,1271.1,2023
XLE,2021-04-01,2021-05-03,25.155000686645508,25.375,0.25,0.008745748652326135,0.003745748652326135,1122.88,2021
XLE,2021-09-01,2023-06-01,23.844999313354492,38.77000045776367,0.25,0.6259174491169044,0.6209174491169044,1321.35,2023
XLE,2023-08-01,2023-09-01,43.53499984741211,45.369998931884766,0.25,0.04214997337554216,0.03714997337554216,1318.34,2023
XLE,2023-10-02,2023-11-01,44.29499816894531,42.494998931884766,0.25,-0.04063662516014066,-0.04563662516014066,1356.94,2023
XLF,2020-01-02,2020-02-03,31.079999923706055,30.170000076293945,0.25,-0.029279274441632586,-0.03427927444163258,1194.8,2020
XLF,2021-05-03,2022-01-03,36.439998626708984,39.529998779296875,0.25,0.08479693383750697,0.07979693383750697,1191.39,2022
XLF,2022-02-01,2022-03-01,39.599998474121094,37.099998474121094,0.25,-0.06313131556390761,-0.06813131556390761,1204.34,2022
XLF,2024-04-01,2024-10-01,41.88999938964844,45.08000183105469,0.25,0.07615188560242703,0.07115188560242702,1323.78,2024
XLF,2024-11-01,2025-11-03,46.63999938964844,52.150001525878906,0.25,0.11813898388372168,0.11313898388372168,1430.65,2025
XLV,2020-06-01,2020-07-01,101.98999786376953,100.83999633789062,0.25,-0.011275630453635221,-0.016275630453635222,1201.84,2020
XLV,2020-08-03,2020-09-01,106.62000274658203,107.29000091552734,0.25,0.006283981914142256,0.0012839819141422558,1182.94,2020
XLV,2022-04-01,2022-05-02,138.07000732421875,129.47999572753906,0.25,-0.06221489926127444,-0.06721489926127444,1265.24,2022
XLV,2022-06-01,2022-07-01,130.3300018310547,129.67999267578125,0.125,-0.004987410006454529,-0.00998741000645453,1297.18,2022
XLV,2023-02-01,2023-03-01,133.99000549316406,126.95999908447266,0.25,-0.05246664766388165,-0.05746664766388165,1315.15,2023
XLI,2021-04-01,2021-09-01,98.77999877929688,104.11000061035156,0.25,0.05395831035555543,0.04895831035555543,1156.03,2021
XLI,2023-03-01,2023-04-03,101.37000274658203,101.36000061035156,0.25,-9.866958626281175e-05,-0.005098669586262812,1316.38,2023
XLI,2023-06-01,2023-10-02,98.08999633789062,100.38999938964844,0.25,0.023447885998843176,0.018447885998843176,1351.67,2023
XLI,2024-01-02,2024-04-01,112.83999633789062,124.98999786376953,0.25,0.1076746004980067,0.1026746004980067,1348.75,2024
XLI,2024-05-01,2024-07-01,121.22000122070312,120.55999755859375,0.25,-0.005444676253613556,-0.010444676253613557,1383.0,2024
XLI,2024-11-01,2025-01-02,134.00999450683594,131.3000030517578,0.25,-0.020222308530427502,-0.025222308530427503,1472.52,2025
XLI,2025-07-01,2025-08-01,148.00999450683594,149.74000549316406,0.25,0.01168847409320195,0.00668847409320195,1388.34,2025
XLI,2026-02-02,2026-04-01,167.52999877929688,164.42999267578125,0.25,-0.018504185077918844,-0.023504185077918845,1511.31,2026
XLI,2026-07-01,2026-08-03,183.36000061035156,183.16000366210938,0.25,-0.0010907337891385982,-0.006090733789138598,1430.49,2026
XLB,2021-02-01,2021-07-01,35.73500061035156,41.380001068115234,0.25,0.15796838845242522,0.15296838845242522,1134.37,2021
XLB,2021-09-01,2021-10-01,42.69499969482422,40.185001373291016,0.25,-0.058789046480248186,-0.06378904648024819,1187.24,2021
XLRE,2019-08-12,2019-12-02,38.439998626708984,37.939998626708984,0.25,-0.013007284543776976,-0.018007284543776977,1182.84,2019
