Date,ret
2018-09-04,-0.001722296869569817
2018-09-05,-0.0026914143261713708
2018-09-06,-0.0030100512779360766
2018-09-07,-0.0019433563002393406
2018-09-10,0.0017385256932853643
2018-09-11,0.003297402531507787
2018-09-12,0.0002421979836542132
2018-09-13,0.005914469714849879
2018-09-14,0.00017198470878598826
2018-09-17,-0.005294308715177221
2018-09-18,0.005426167637001322
2018-09-19,0.0010656132642101745
2018-09-20,0.008103788687831015
2018-09-21,-0.005415888039422723
2018-09-24,-0.0033220358681629314
2018-09-25,-0.0009277335711094237
2018-09-26,-0.0029922445990971935
2018-09-27,0.0027942512244720774
2018-09-28,0.00010319852435558552
2018-10-01,0.0034741667631537076
2018-10-02,-0.0005827766130730438
2018-10-03,0.0005487846873686308
2018-10-04,-0.007815709480859079
2018-10-05,-0.005596998008302045
2018-10-08,0.0
2018-10-09,-0.0014592919777853819
2018-10-10,-0.031663209104984436
2018-10-11,-0.022026498864939015
2018-10-12,0.013888373416642175
2018-10-15,-0.005617025700234368
2018-10-16,0.021865889699193897
2018-10-17,0.00017838199584740977
2018-10-18,-0.014441141502098076
2018-10-19,-0.0005426696808847886
2018-10-22,-0.004488652432126705
2018-10-23,-0.005090812568079417
2018-10-24,-0.03029852151299206
2018-10-25,0.017940521320091163
2018-10-26,-0.017587382390990447
2018-10-29,-0.005540275487492807
2018-10-30,0.01481847903879685
2018-10-31,0.010680867858550824
2018-11-01,0.010641853567048498
2018-11-02,-0.005922982923278419
2018-11-05,0.0055169366993470526
2018-11-06,0.006327884619248714
2018-11-07,0.02140889340278096
2018-11-08,-0.0018149167214732698
2018-11-09,-0.009768236129679142
2018-11-12,-0.018685203985215892
2018-11-13,-0.0018711147665574357
2018-11-14,-0.006836673411209304
2018-11-15,0.010436627236270812
2018-11-16,0.0026006226695023393
2018-11-19,-0.016914494929252566
2018-11-20,-0.018506171956058748
2018-11-21,0.003407518980473423
2018-11-23,-0.006678700049227437
2018-11-27,0.019563129711241745
2018-11-28,0.02302530855557583
2018-11-29,-0.0021850667028844306
2018-11-30,0.006095272805283436
2018-12-03,0.013241407499740676
2018-12-04,-0.03240239236844167
2018-12-06,-0.0015171273343547176
2018-12-07,-0.023235951299897972
2018-12-10,0.0018970291994755417
2018-12-11,0.00022720322993774467
2018-12-12,0.005035348304543108
2018-12-13,-0.0003390203450144291
2018-12-14,-0.018464762356876663
2018-12-17,-0.019618384406662304
2018-12-18,-0.001096486445127054
2018-12-19,-0.014975722505870204
2018-12-20,-0.01627794486710199
2018-12-21,-0.026176321028577143
2018-12-24,-0.026422935982500895
2018-12-26,0.050524863544073595
2018-12-27,0.0076773690172566855
2018-12-28,-0.001289987966181294
2018-12-31,0.008758822074451222
2019-01-02,0.0010403109344623296
2019-01-03,-0.023862763357143546
2019-01-04,0.03349573093196567
2019-01-07,0.007884644787735207
2019-01-08,0.009395330155608672
2019-01-09,0.004673490899932853
2019-01-10,0.003527556141424526
2019-01-11,0.0003863029265658291
2019-01-14,-0.0061009229392887665
2019-01-15,0.011460809156886187
