Date,sat_ret
2019-01-02,0.0
2019-01-03,-0.017485099939837434
2019-01-04,0.023790354278748684
2019-01-07,-0.0023712434009626935
2019-01-08,0.0064547489428018094
2019-01-09,-0.004675550003596762
2019-01-10,-0.007016991920453721
2019-01-11,0.006978561124653781
2019-01-14,-0.01927250350586292
2019-01-15,0.014759962501042685
2019-01-16,-0.004420733863956175
2019-01-17,0.008818391324735423
2019-01-18,0.002801032158706936
2019-01-22,0.00022844347766237628
2019-01-23,0.0011766168434954967
2019-01-24,-0.017924351929975435
2019-01-25,-0.014767400260931372
2019-01-28,-0.012551772841485082
2019-01-29,0.01262698946657381
2019-01-30,0.008667477083256658
2019-01-31,0.022140317523467862
2019-02-01,0.010262698924593822
2019-02-04,-0.0010642597604932913
2019-02-05,-0.0012467512709274007
2019-02-06,0.002647484462427907
2019-02-07,-0.0013333724012257004
2019-02-08,0.010325175031804301
2019-02-11,-0.00782427665529924
2019-02-12,0.009858183593509207
2019-02-13,5.3405356517839415e-06
2019-02-14,0.0013832414631987553
2019-02-15,0.009699114057829528
2019-02-19,0.0016005880254524871
2019-02-20,-0.0018450972098793907
2019-02-21,0.002856610581288166
2019-02-22,0.013216522811697754
2019-02-25,-0.0011213919577819735
2019-02-26,0.0016496376396363623
2019-02-27,-0.003707434774851655
2019-02-28,0.007655089845121902
2019-03-01,0.0012689440289040215
2019-03-04,-0.0021639666799966686
2019-03-05,0.00010045889300887745
2019-03-06,-0.01316768826182272
2019-03-07,-0.004382389966318678
2019-03-08,-0.005354177125889554
2019-03-11,0.010855390666969056
2019-03-12,0.005776287888629309
2019-03-13,0.003894616068956654
2019-03-14,-0.00693826889049846
2019-03-15,0.00555566233522294
2019-03-18,-0.0013046155558715797
2019-03-19,0.0020622362332086324
2019-03-20,0.002090016333578415
2019-03-21,0.008537389475554491
2019-03-22,-0.003079117893824127
2019-03-25,1.163922141859486e-05
2019-03-26,0.008917736424440307
2019-03-27,-0.007521900814314993
2019-03-28,8.126890622572836e-05
2019-03-29,0.006028728599884421
2019-04-01,-0.0014546152411643396
2019-04-02,-0.0015828629971337271
2019-04-03,-0.0009630123681975873
2019-04-04,-0.0077102214993742075
2019-04-05,0.0020714352088660273
2019-04-08,-0.0021837287026243617
2019-04-09,-0.001044948700907359
2019-04-10,-0.0026885781662288055
2019-04-11,-0.005120922815950632
2019-04-12,-0.0047070136674859375
2019-04-15,-0.0001986451582326465
2019-04-16,-0.016242899699155378
2019-04-17,-0.023887018899110116
2019-04-18,-0.007980720448635773
2019-04-22,-0.0003606121779211602
2019-04-23,0.007902445388996463
2019-04-24,0.0006322857779746207
2019-04-25,0.009950059141025461
2019-04-26,0.006448252932300003
2019-04-29,-0.00241224427929787
2019-04-30,0.021607941358342764
2019-05-01,-0.0006501303736677528
2019-05-02,0.002676460029701307
2019-05-03,0.006300450146328629
2019-05-06,-0.0026887139063560177
2019-05-07,-0.015197064847511117
2019-05-08,-0.0011072220405751916
2019-05-09,-0.0005887119952081206
2019-05-10,0.005627448660658304
2019-05-13,-6.591942534391504e-05
2019-05-14,0.0017680180935553493
2019-05-15,0.004508352314107511
2019-05-16,0.0146094470412829
2019-05-17,7.438279753605825e-05
2019-05-20,0.0022618849644754726
2019-05-21,0.0025087387030193007
2019-05-22,0.013843172038920937
2019-05-23,0.002250157800786671
2019-05-24,0.0005936434993681534
2019-05-28,-0.007740207556837871
2019-05-29,-0.009229436546111339
2019-05-30,0.0031512946935442114
2019-05-31,-0.006212429467060021
2019-06-03,0.00993389840578381
2019-06-04,0.0055365646527462484
2019-06-05,0.013291751084997323
2019-06-06,0.002592654226265793
2019-06-07,0.003594378166691503
2019-06-10,-0.000336120064600709
2019-06-11,-0.0034510746058882638
2019-06-12,0.010393348001356864
2019-06-13,-0.007354669285243382
2019-06-14,0.005121677772982447
2019-06-17,0.0020790953307308433
2019-06-18,0.004704429179286965
2019-06-19,0.008090875847696891
2019-06-20,-0.001975270566074938
2019-06-21,0.0023066835709451374
2019-06-24,0.005435940814940476
2019-06-25,-0.004222544514474161
2019-06-26,-0.017604887453176343
2019-06-27,0.0069981498687978014
2019-06-28,-0.0002595397074283875
2019-07-01,0.005673643472520418
2019-07-02,0.010362308116185253
2019-07-03,0.012042827315846678
2019-07-05,-0.007495038355851265
2019-07-08,-0.0026132063089452746
2019-07-09,-0.002386345046346494
2019-07-10,0.004520007779240812
2019-07-11,0.0010385430394257433
2019-07-12,-0.0009232270055414086
2019-07-15,0.002025714723589034
2019-07-16,-0.004694582138867087
2019-07-17,-0.005225670741672794
2019-07-18,0.001522003931730705
2019-07-19,-0.007136274491407968
2019-07-22,0.003978209151910679
2019-07-23,0.008961407772208219
2019-07-24,-0.012416525275510626
2019-07-25,0.005801245960036727
2019-07-26,0.005067553270286444
2019-07-29,0.004191869251278938
2019-07-30,0.014295407220288991
2019-07-31,-0.006747101293545202
2019-08-01,-0.00033076813773643315
2019-08-02,-0.004402872896935712
2019-08-05,-0.015987716904707055
2019-08-06,0.010895014666341499
2019-08-07,0.009686166506687409
2019-08-08,0.020306569478371356
2019-08-09,0.006100172161609111
2019-08-12,-0.005768441801547378
2019-08-13,0.006261728322644304
2019-08-14,-0.022973730874392768
2019-08-15,0.01707335932371601
2019-08-16,0.00681478688539298
2019-08-19,0.005939173617618754
2019-08-20,-0.006742456138428832
2019-08-21,0.00779349952045072
2019-08-22,-0.003596093353331886
2019-08-23,-0.01784830834378407
2019-08-26,0.010181117584029842
2019-08-27,0.0066987844124737714
2019-08-28,0.000974892863459494
2019-08-29,0.002011719758560552
2019-08-30,0.000768666932166558
2019-09-03,0.007606088036347694
2019-09-04,0.01108994487479964
2019-09-05,-0.013950826863423083
2019-09-06,-0.0007461978697024616
2019-09-09,-0.03548013477620785
2019-09-10,-0.02141099412460464
2019-09-11,-0.0015380555477044013
2019-09-12,0.01729004733179858
2019-09-13,-0.0010411677905314276
2019-09-16,-0.01969539488808895
2019-09-17,0.021471098526181377
2019-09-18,0.002663736260423303
2019-09-19,0.009953406059123019
2019-09-20,-0.004057766541929649
2019-09-23,-0.002296978637574424
2019-09-24,-0.0020520763115495777
2019-09-25,-0.00011229680594271318
2019-09-26,0.007369057654437997
2019-09-27,-0.010413078118503264
2019-09-30,0.004900399317257387
2019-10-01,-0.01211424949753248
2019-10-02,-0.017470889638090882
2019-10-03,0.008232297118399307
2019-10-04,0.010938647212035782
2019-10-07,-0.00684601264867309
2019-10-08,-0.010992367398409251
2019-10-09,0.009996163276525008
2019-10-10,0.007461567764661151
2019-10-11,0.004046876171853397
2019-10-14,-0.00474403567112173
