Date,0
2016-02-04,0.0
2016-02-05,-0.032258832770708346
2016-02-08,-0.03271290186473058
2016-02-09,-0.007339748467971308
2016-02-10,-0.05984044696949137
2016-02-11,-0.04785294020099623
2016-02-12,-0.006029969494856013
2016-02-16,-0.0005
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,0.0
2016-02-22,0.0
2016-02-23,0.0
2016-02-24,0.0
2016-02-25,0.03981682037141815
2016-02-26,0.011700843007733608
2016-02-29,0.026381739784214098
2016-03-01,-0.022231351912520125
2016-03-02,0.03313210838308774
2016-03-03,0.1087865691847838
2016-03-04,-0.045453099640552885
2016-03-07,0.005155089727419883
2016-03-08,-0.05456469929233657
2016-03-09,0.02121780135049574
2016-03-10,0.010039472254321816
2016-03-11,-0.0241843903113024
2016-03-14,-0.012882898724934227
2016-03-15,-0.015054466570235521
2016-03-16,0.036749389865437555
2016-03-17,0.023618039022089993
2016-03-18,-0.006880498987084205
2016-03-21,-0.0056296396717650694
2016-03-22,-0.0055961877761847205
2016-03-23,-0.04579555144241069
2016-03-24,0.006800102694182519
2016-03-28,0.010344033284425605
2016-03-29,0.012388211929751406
2016-03-30,0.0004559444266297361
2016-03-31,-0.005121908339459654
2016-04-01,-0.008503244496520696
2016-04-04,-0.010065918767937202
2016-04-05,-0.014534897385899526
2016-04-06,0.02685624051691926
2016-04-07,-0.02010471708920928
2016-04-08,-0.00503329794652633
2016-04-11,0.001759239920863409
2016-04-12,0.009950239314132636
2016-04-13,0.009643925731124381
2016-04-14,0.03745162751563058
2016-04-15,-0.024254055109666196
2016-04-18,0.011729335560333102
2016-04-19,-0.009249147965512156
2016-04-20,0.019150910857900827
2016-04-21,0.01828791277080294
2016-04-22,0.02190143952825091
2016-04-25,-0.03030180113330591
2016-04-26,0.019696824319233724
2016-04-27,0.03206196717459234
2016-04-28,-0.04563142540682788
2016-04-29,-0.008802661380183568
2016-05-02,0.006621803462149606
2016-05-03,-0.03953461755612406
2016-05-04,-0.05057733461706776
2016-05-05,-0.05402484325552351
2016-05-06,0.012894428757050788
2016-05-09,-0.004729177992946143
2016-05-10,-0.08714687680024569
2016-05-11,-0.0005
2016-05-12,0.0
2016-05-13,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
