Date,switch_spy_or_holdings_corr
2019-08-12,0.0
2019-08-13,0.0038811962296920453
2019-08-14,-0.010139338928452707
2019-08-15,0.006751594714140273
2019-08-16,0.005251406131132749
2019-08-19,0.004018941194148351
2019-08-20,-0.001336805206769867
2019-08-21,0.004117801643943225
2019-08-22,0.00019947651308702962
2019-08-23,-0.007788426926769899
2019-08-26,0.007412823514144487
2019-08-27,0.0013743316374652287
2019-08-28,-0.0003856769166556334
2019-08-29,0.005173154734392532
2019-08-30,-0.00047684564606229746
2019-09-03,0.007168841219839545
2019-09-04,0.0033952628887080655
2019-09-05,-0.013103397551529271
2019-09-06,-0.0008743421910410581
2019-09-09,-0.007219252996118309
2019-09-10,-0.008391496094141271
2019-09-11,0.002524856877766722
2019-09-12,0.0007743408532803364
2019-09-13,-0.010197056936330728
2019-09-16,0.006853492365946839
2019-09-17,0.006426591044077173
2019-09-18,-0.0001758046233823321
2019-09-19,0.0031998826374720454
2019-09-20,0.0022132146145631346
2019-09-23,0.0019380593138694723
2019-09-24,0.005909256522488859
2019-09-25,-0.007397449168495651
2019-09-26,0.0044870992543242765
2019-09-27,-0.0027213867216908313
2019-09-30,-0.0023762343892906545
2019-10-01,-0.000898617773935019
2019-10-02,-0.001137259082165426
2019-10-03,0.005923276609902758
2019-10-04,0.005504863724894188
2019-10-07,-0.004771009689176591
2019-10-08,-0.0005724889068981692
2019-10-09,0.0006764579634700091
2019-10-10,-0.004710365181281142
2019-10-11,-0.005303972940363595
2019-10-14,0.0013551667191472605
2019-10-15,-0.004556935791837044
2019-10-16,0.0016758702998052085
2019-10-17,0.001729091221664447
2019-10-18,0.002517614095997851
2019-10-21,-0.0003421729301613552
2019-10-22,0.002126624162408806
2019-10-23,0.0019437295079424764
2019-10-24,0.001014936682278246
2019-10-25,-0.005310669751710674
2019-10-28,-0.008935137558402804
2019-10-29,0.0002954598654151014
2019-10-30,0.007728450209117552
2019-10-31,0.005455226410955809
2019-11-01,-0.0018986383161126816
2019-11-04,-0.004899565453128142
2019-11-05,-0.009748237617180232
2019-11-06,0.002878117087010175
2019-11-07,-0.007750106503119174
2019-11-08,-0.0014484212739919137
2019-11-11,0.00012377112178058174
2019-11-12,0.0008612202877528605
2019-11-13,0.004843949580124548
2019-11-14,0.004969169869501772
2019-11-15,0.0020034717304637253
2019-11-18,0.0028068960470911146
2019-11-19,0.0027294974129076304
2019-11-20,0.0011309345696939573
2019-11-21,-0.006410428596579474
2019-11-22,-0.001615572458090833
2019-11-25,0.002863956836943808
2019-11-26,0.005410706610112298
2019-11-27,9.984790715909657e-05
2019-11-29,-0.000581041485067614
2019-12-02,-0.010241745557458876
2019-12-03,0.003987688863860003
2019-12-04,-0.00044433487405501625
2019-12-05,0.0007701365198099038
2019-12-06,0.00032033038319480566
2019-12-09,-0.0015203379940889744
2019-12-10,6.0364949373820084e-05
2019-12-11,0.005542248493092083
2019-12-12,-0.0017336284159662318
2019-12-13,0.00433615486845182
2019-12-16,0.0020763031388400105
2019-12-17,-0.001033267246043658
2019-12-18,-0.00031081337114399196
2019-12-19,0.004034092822737236
2019-12-20,0.0012296443317367511
2019-12-23,0.00039974708241565237
2019-12-24,0.0026420396944158734
2019-12-26,0.005385900039638539
2019-12-27,-0.00025747675438323874
2019-12-30,-0.003751273476035405
2019-12-31,-0.0006076046530089543
2020-01-02,0.010444600513999475
2020-01-03,-0.008873271030635281
2020-01-06,0.004129092977001443
2020-01-07,-0.0025504909157758604
2020-01-08,0.007693970248300969
2020-01-09,0.007660371319683693
2020-01-10,-0.003921997462346176
2020-01-13,0.00977651867703414
2020-01-14,-0.003679550030637228
2020-01-15,0.0006023566974732883
2020-01-16,0.010425630362785559
2020-01-17,0.005788355031675613
2020-01-21,-0.0025318925268873953
2020-01-22,0.0002606237490190163
2020-01-23,0.0013908098881195844
2020-01-24,-0.009628656435718436
2020-01-27,-0.017747729814926953
2020-01-28,0.013760934876126304
2020-01-29,0.0020515171031511427
2020-01-30,0.0031905629223851024
2020-01-31,-0.017868805187215172
2020-02-03,0.008867919264614423
2020-02-04,0.001323671135590082
2020-02-05,3.221005617572437e-05
2020-02-06,0.005925082231855822
2020-02-07,-0.00011822095370054306
2020-02-10,0.007179410136046621
2020-02-11,-0.002357680701760913
2020-02-12,0.002766704466775538
2020-02-13,0.0030355595028972587
2020-02-14,0.005185986435800022
2020-02-18,0.005170213523578218
2020-02-19,0.0018931807588357676
2020-02-20,0.00040416552585453294
2020-02-21,-0.0025482755026052972
2020-02-24,-0.012347309756400877
2020-02-25,-0.018677303730137238
2020-02-26,-0.00020622897507144452
