top_n,overlay,cumulative_return,cagr,mdd,sharpe,win_rate,avg_holding_days,trade_count
10,none,1839.94,29.11,-29.88,1.15,0.0,0.0,0
10,vt10.0_cap1.0,273.43,12.02,-10.99,1.08,0.0,0.0,0
10,vt12.0_cap1.0,380.7,14.49,-13.13,1.1,0.0,0.0,0
10,vt15.0_cap1.0,585.12,18.04,-16.09,1.13,0.0,0.0,0
15,none,1083.33,23.73,-29.49,1.08,0.0,0.0,0
15,vt10.0_cap1.0,240.03,11.12,-14.37,1.01,0.0,0.0,0
15,vt12.0_cap1.0,330.34,13.4,-17.13,1.04,0.0,0.0,0
15,vt15.0_cap1.0,497.3,16.65,-19.89,1.09,0.0,0.0,0
